TEST;FAULT_TYPE;COMPONENT;CLASS;FUNCTION;FAULT_POINT;ROUND_1;ASSERTION_R1;API_R1;ROUND_2;ASSERTION_R2;API_R2
Test_34;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_disconnect_volume+1195;vol_driver.disconnect_volume(connection_info, disk_dev, instance);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_35;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/block_device.py;BlockDeviceDict;_validate+121;validate_and_default_volume_size(bdm_dict);FAILURE;; openstack server create ;NO_FAILURE;;
Test_36;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/block_device.py;DriverVolumeBlockDevice;attach+390;virt_driver.attach_volume(context, connection_info, instance, self['mount_device'], disk_bus=self['disk_bus'], device_type=self['device_type'], encryption=encryption);FAILURE;FAILURE_VOLUME_ATTACHED;;NO_FAILURE;;
Test_37;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/volume/iscsi.py;LibvirtISCSIVolumeDriver;disconnect_volume+79;super(LibvirtISCSIVolumeDriver, self).disconnect_volume(connection_info, disk_dev, instance);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_38;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/volume/iscsi.py;LibvirtISCSIVolumeDriver;disconnect_volume+73;self.connector.disconnect_volume(connection_info['data'], None);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_39;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/compute/manager.py;ComputeManager;_delete_instance+2467;self._cleanup_volumes(context, instance, bdms, raise_exc=False, detach=False);NO_FAILURE;;;NO_FAILURE;;
Test_40;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;attach_volume+1269;self._connect_volume(connection_info, disk_info, instance);FAILURE;FAILURE_VOLUME_ATTACHED;;NO_FAILURE;;
Test_41;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;cleanup+1013;self._disconnect_volume(connection_info, disk_dev, instance);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_42;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;attach_volume+1275;self._check_discard_for_attach_volume(conf, instance);FAILURE;FAILURE_VOLUME_ATTACHED;;NO_FAILURE;;
Test_43;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_get_ephemeral_devices+3936;self._connect_volume(connection_info, info, instance);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_44;OPENSTACK_THROW_EXCEPTION-VOLUME;/nova/compute/api.py;API;_attach_volume+3707;self._check_attach_and_reserve_volume(context, volume_id, instance);FAILURE;; openstack server add volume ;NO_FAILURE;;
Test_45;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/compute/manager.py;ComputeManager;_attach_volume+4954;compute_utils.notify_about_volume_attach_detach(context, instance, self.host, action=fields.NotificationAction.VOLUME_ATTACH, phase=fields.NotificationPhase.END, volume_id=bdm.volume_id);NO_FAILURE;;;NO_FAILURE;;
Test_46;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/compute/manager.py;ComputeManager;_attach_volume+4928;compute_utils.notify_about_volume_attach_detach(context, instance, self.host, action=fields.NotificationAction.VOLUME_ATTACH, phase=fields.NotificationPhase.START, volume_id=bdm.volume_id);NO_FAILURE;;;NO_FAILURE;;
Test_47;OPENSTACK_MISSING_PARAMETERS-IMAGE;/nova/virt/libvirt/driver.py;LibvirtDriver;_create_images_and_backing+7225;self._try_fetch_image_cache(disk, libvirt_utils.fetch_image, context, cache_name, instance.image_ref, instance, info['virt_disk_size'], fallback_from_host);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_48;OPENSTACK_MISSING_PARAMETERS-IMAGE;/nova/objects/request_spec.py;RequestSpec;from_components+416;spec_obj._image_meta_from_image(image);FAILURE;; openstack server create ;NO_FAILURE;;
Test_49;OPENSTACK_MISSING_FUNCTION_CALL-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_disconnect_volume+1195;vol_driver.disconnect_volume(connection_info, disk_dev, instance);NO_FAILURE;;;NO_FAILURE;;
Test_50;OPENSTACK_MISSING_PARAMETERS-IMAGE;/nova/compute/api.py;API;_checks_for_create_and_rebuild+750;self._check_requested_image(context, image_id, image, instance_type, root_bdm);FAILURE;; openstack server create ;NO_FAILURE;;
Test_51;OPENSTACK_WRONG_PARAMETERS-SSH;/nova/crypto.py;None;generate_fingerprint+100;serialization.load_ssh_public_key(pub_bytes, backends.default_backend());FAILURE;; openstack keypair create ;NO_FAILURE;;
Test_52;OPENSTACK_WRONG_RETURN_VALUE-NETWORK;/nova/notifications/objects/instance.py;IpPayload;from_network_info+286;return ips;FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_53;NETIO_MISSING_FUNCTION_CALL-CLOSE;/nova/virt/libvirt/driver.py;LibvirtDriver;_supports_direct_io+3104;os.close(fd);NO_FAILURE;;;NO_FAILURE;;
Test_54;NETIO_MISSING_FUNCTION_CALL-CLOSE;/nova/virt/libvirt/driver.py;LibvirtDriver;_ensure_console_log_for_instance+3167;libvirt_utils.file_open(console_file, 'a').close();NO_FAILURE;;;NO_FAILURE;;
Test_55;NETIO_MISSING_FUNCTION_CALL-CLOSE;/nova/image/glance.py;GlanceImageServiceV2;download+381;data.close();NO_FAILURE;;;NO_FAILURE;;
Test_56;NETIO_MISSING_FUNCTION_CALL-CLOSE;/nova/db/sqlalchemy/api.py;DeleteFromSelect;_compute_node_fetchall+668;conn.close();NO_FAILURE;;;NO_FAILURE;;
Test_57;NETIO_MISSING_FUNCTION_CALL-SEND;/nova/compute/manager.py;ComputeManager;_process_instance_event+6982;_event.send(event);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_58;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/db/sqlalchemy/api.py;DeleteFromSelect;instance_tag_get_by_instance_uuid+6928;return context.session.query(models.Tag).filter_by(resource_id=instance_uuid).all();NO_FAILURE;;;NO_FAILURE;;
Test_59;OPENSTACK_MISSING_PARAMETERS-IMAGE;/nova/virt/libvirt/driver.py;LibvirtDriver;_hard_reboot+2605;self._create_images_and_backing(context, instance, instance_dir, backing_disk_info);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_60;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/api.py;API;_create_instance+1170;self.compute_task_api.schedule_and_build_instances(context, build_requests=build_requests, request_spec=request_specs, image=boot_meta, admin_password=admin_password, injected_files=injected_files, requested_networks=requested_networks, block_device_mapping=block_device_mapping, tags=tags);FAILURE;; openstack server create ;NO_FAILURE;;
Test_61;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/conductor/api.py;ComputeTaskAPI;schedule_and_build_instances+130;self.conductor_compute_rpcapi.schedule_and_build_instances(context, build_requests, request_spec, image, admin_password, injected_files, requested_networks, block_device_mapping, tags);FAILURE;; openstack server create ;NO_FAILURE;;
Test_62;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/conductor/manager.py;ComputeTaskManager;schedule_and_build_instances+1109;objects.BuildRequest.get_by_instance_uuid(context, instance.uuid);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_63;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/conductor/manager.py;ComputeTaskManager;schedule_and_build_instances+1201;self.compute_rpcapi.build_and_run_instance(cctxt, instance=instance, image=image, request_spec=request_spec, filter_properties=filter_props, admin_password=admin_password, injected_files=injected_files, requested_networks=requested_networks, security_groups=legacy_secgroups, block_device_mapping=instance_bdms, host=host['host'], node=host['nodename'], limits=host['limits']);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_64;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/db/sqlalchemy/api.py;DeleteFromSelect;instance_extra_update_by_uuid+2926;return rows_updated;NO_FAILURE;;;NO_FAILURE;;
Test_65;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/conductor/manager.py;ComputeTaskManager;schedule_and_build_instances+1136;compute_utils.check_num_instances_quota(context, instance.flavor, 0, 0, orig_num_req=len(build_requests));FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_66;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/conductor/manager.py;ComputeTaskManager;_schedule_instances+633;scheduler_utils.setup_instance_group(context, request_spec);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_67;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;_update_available_resource+751;self._pair_instances_to_migrations(migrations, instances);NO_FAILURE;;;NO_FAILURE;;
Test_68;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;_update_usage_from_instance+1085;self.pci_tracker.update_pci_for_instance(context, instance, sign=sign);NO_FAILURE;;;NO_FAILURE;;
Test_69;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;_update_usage_from_instances+1203;self._remove_deleted_instances_allocations(context, cn);NO_FAILURE;;;NO_FAILURE;;
Test_70;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;_update_usage_from_instances+1200;self._update_usage_from_instance(context, instance, nodename, require_allocation_refresh=require_allocation_refresh);NO_FAILURE;;;NO_FAILURE;;
Test_71;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;_update_available_resource+745;self._update_usage_from_instances(context, instances, nodename);NO_FAILURE;;;NO_FAILURE;;
Test_72;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;instance_claim+221;self.pci_tracker.claim_instance(context, pci_requests, instance_numa_topology);NO_FAILURE;;;NO_FAILURE;;
Test_73;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/db/sqlalchemy/api.py;DeleteFromSelect;_instance_metadata_get_multi+5304;return [];FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_74;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;update_usage+512;self._update_usage_from_instance(context, instance, nodename);NO_FAILURE;;;NO_FAILURE;;
Test_75;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/resource_tracker.py;ResourceTracker;instance_claim+225;self._update_usage_from_instance(context, instance, nodename);NO_FAILURE;;;NO_FAILURE;;
Test_76;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/api.py;API;external_instance_event+4295;self.compute_rpcapi.external_instance_event(cell_context, instances_by_host[host], events_by_host[host], host=host);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_77;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/api.py;API;_hard_reboot+2969;self.compute_rpcapi.reboot_instance(context, instance=instance, block_device_info=None, reboot_type='HARD');FAILURE;; openstack server reboot ;NO_FAILURE;;
Test_78;OPENSTACK_WRONG_PARAMETERS-INSTANCE;/nova/compute/api.py;API;_populate_instance_for_create+1513;self._populate_instance_names(instance, num_instances);FAILURE;; openstack server create ;FAILURE;FAILURE_INSTANCE_ACTIVE;
Test_79;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/volume/cinder.py;None;_untranslate_volume_summary_view+194;return d;NO_FAILURE;;;NO_FAILURE;;
Test_80;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/virt/block_device.py;DriverBlankBlockDevice;convert_volume+595;return convert_all_volumes(volume_bdm)[0];NO_FAILURE;;;NO_FAILURE;;
Test_81;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/virt/block_device.py;DriverBlankBlockDevice;convert_all_volumes+588;return [vol for vol in itertools.chain(source_volume, source_snapshot, source_image, source_blank)];FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_82;OS_MISSING_FUNCTION_CALL-OS;/nova/image/glance.py;GlanceImageServiceV2;download+380;os.fsync(data.fileno());NO_FAILURE;;;NO_FAILURE;;
Test_83;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/nova/virt/libvirt/imagebackend.py;Image;fetch_func_sync+247;self.resize_image(size);NO_FAILURE;;;NO_FAILURE;;
Test_84;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/nova/virt/libvirt/driver.py;LibvirtDriver;_create_images_and_backing+7225;self._try_fetch_image_cache(disk, libvirt_utils.fetch_image, context, cache_name, instance.image_ref, instance, info['virt_disk_size'], fallback_from_host);NO_FAILURE;;;NO_FAILURE;;
Test_85;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/nova/virt/libvirt/driver.py;LibvirtDriver;_hard_reboot+2605;self._create_images_and_backing(context, instance, instance_dir, backing_disk_info);NO_FAILURE;;;NO_FAILURE;;
Test_86;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/nova/objects/request_spec.py;RequestSpec;from_components+416;spec_obj._image_meta_from_image(image);FAILURE;; openstack server create ;NO_FAILURE;;
Test_87;OPENSTACK_MISSING_FUNCTION_CALL-IMAGE;/nova/compute/api.py;API;_checks_for_create_and_rebuild+750;self._check_requested_image(context, image_id, image, instance_type, root_bdm);NO_FAILURE;;;NO_FAILURE;;
Test_88;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/block_device.py;BlockDeviceDict;volume_in_mapping+586;return (strip_dev(mount_device) in block_device_list);FAILURE;FAILURE_SSH;;NO_FAILURE;;
Test_89;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_get_volume_driver+1187;return self.volume_drivers[driver_type];FAILURE;FAILURE_VOLUME_ATTACHED;;NO_FAILURE;;
Test_90;OPENSTACK_THROW_EXCEPTION-IMAGE;/nova/objects/request_spec.py;RequestSpec;from_components+416;spec_obj._image_meta_from_image(image);FAILURE;; openstack server create ;FAILURE;FAILURE_INSTANCE_ACTIVE;
Test_91;OPENSTACK_THROW_EXCEPTION-IMAGE;/nova/compute/api.py;API;_checks_for_create_and_rebuild+750;self._check_requested_image(context, image_id, image, instance_type, root_bdm);FAILURE;; openstack server create ;FAILURE;FAILURE_INSTANCE_ACTIVE;
Test_92;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;_get_volume_config+1205;return conf;FAILURE;FAILURE_VOLUME_ATTACHED;;NO_FAILURE;;
Test_93;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/conductor/manager.py;ComputeTaskManager;_schedule_instances+636;return hosts;FAILURE;FAILURE_INSTANCE_ACTIVE;;FAILURE;FAILURE_INSTANCE_ACTIVE;
Test_94;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/virt/libvirt/driver.py;LibvirtDriver;get_volume_connector+1140;return connector.get_connector_properties(root_helper, CONF.my_block_storage_ip, CONF.libvirt.volume_use_multipath, enforce_multipath=True, host=CONF.host);NO_FAILURE;;;NO_FAILURE;;
Test_95;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/objects/block_device.py;BlockDeviceMapping;is_volume+269;return (self.destination_type == fields.BlockDeviceDestinationType.VOLUME);NO_FAILURE;;;NO_FAILURE;;
Test_96;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/conductor/manager.py;ComputeTaskManager;_volume_size+958;return size;NO_FAILURE;;;NO_FAILURE;;
Test_97;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/compute/api.py;API;_volume_size+1218;return size;NO_FAILURE;;;NO_FAILURE;;
Test_98;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/compute/api.py;API;_attach_volume+3713;return volume_bdm.device_name;NO_FAILURE;;;NO_FAILURE;;
Test_99;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/compute/api.py;API;_may_have_ports_or_volumes+1970;return False;NO_FAILURE;;;NO_FAILURE;;
Test_100;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/compute/api.py;API;_check_attach_and_reserve_volume+3694;return volume;NO_FAILURE;;;NO_FAILURE;;
Test_101;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/compute/api.py;API;attach_volume+3774;return self._attach_volume(context, instance, volume_id, device, disk_bus, device_type, tag=tag);NO_FAILURE;;;NO_FAILURE;;
Test_102;OPENSTACK_WRONG_RETURN_VALUE-VOLUME;/nova/compute/api.py;API;_create_volume_bdm+3686;return volume_bdm;FAILURE;; openstack server add volume ;NO_FAILURE;;
Test_103;OPENSTACK_MISSING_PARAMETERS-SSH;/nova/crypto.py;None;generate_fingerprint+100;serialization.load_ssh_public_key(pub_bytes, backends.default_backend());FAILURE;; openstack keypair create ;FAILURE;FAILURE_INSTANCE_ACTIVE;
Test_104;OPENSTACK_WRONG_RETURN_VALUE-INSTANCE;/nova/db/sqlalchemy/api.py;DeleteFromSelect;instance_extra_get_by_instance_uuid+2940;return instance_extra;NO_FAILURE;;;NO_FAILURE;;
Test_105;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/network/neutronv2/api.py;API;deallocate_for_instance+1207;objects.VirtualInterface.delete_by_instance_uuid(context, instance.uuid);NO_FAILURE;;;NO_FAILURE;;
Test_106;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/network/neutronv2/api.py;API;deallocate_for_instance+1214;base_api.update_instance_cache_with_nw_info(self, context, instance, network_model.NetworkInfo([]));NO_FAILURE;;;NO_FAILURE;;
Test_107;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/api/openstack/compute/servers.py;ServersController;_get_servers+326;req.cache_db_instances(instance_list);FAILURE;FAILURE_INSTANCE_ACTIVE;;NO_FAILURE;;
Test_108;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/api/openstack/compute/servers.py;ServersController;create+637;req.cache_db_instances(instances);FAILURE;; openstack server create ;NO_FAILURE;;
Test_109;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/api/openstack/compute/servers.py;ServersController;_get_server+347;req.cache_db_instance(instance);FAILURE;; openstack server create ;NO_FAILURE;;
Test_110;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/objects/request_spec.py;RequestSpec;from_components+418;spec_obj._from_instance_pci_requests(pci_requests);FAILURE;; openstack server create ;FAILURE;FAILURE_INSTANCE_ACTIVE;
Test_111;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/objects/request_spec.py;RequestSpec;from_components+419;spec_obj._from_instance_numa_topology(numa_topology);FAILURE;; openstack server create ;FAILURE;FAILURE_INSTANCE_ACTIVE;
Test_112;OPENSTACK_MISSING_PARAMETERS-INSTANCE;/nova/virt/libvirt/driver.py;LibvirtDriver;unfilter_instance+7519;self.firewall_driver.unfilter_instance(instance, network_info=network_info);NO_FAILURE;;;NO_FAILURE;;
Test_113;OPENSTACK_WRONG_PARAMETERS-NETWORK;/nova/network/neutronv2/api.py;API;_get_available_networks+363;_ensure_requested_network_ordering((lambda x: x['id']), nets, net_ids);FAILURE;; openstack server create ;NO_FAILURE;;
